,Social?,Source,Filename,Quality,Start,End,# of People,Face visible?,Gender(s),Notes,Video Editing Notes,Sam's notes,Final (top five),
Exercising,Yes,https://www.youtube.com/watch?v=qiGpZvNaZ3Y,Prince George Senior's Community Park,720p (HD),2:08,2:12,2,y,,another person is present & talking while the 2 women exercise,n,,X,
Exercising,Yes,https://www.youtube.com/watch?v=qiGpZvNaZ3Y,Prince George Senior's Community Park,720p (HD),3:09,3:13,4,y,,People are stretching,cropped so faces are more visible,,,
Exercising,Yes,https://www.youtube.com/watch?v=ss4kE1F5Bok,CrossFit Workout with Weights,720p (HD),3:08,3:12,2,y,,Logo in bottom right and countdown in top left need to be cropped out,cropped out logo,,,
Exercising,Yes,https://www.youtube.com/watch?v=ss4kE1F5Bok,CrossFit Workout with Weights,720p (HD),9:18,9:22,3,y,,Logo in bottom right and countdown in top left need to be cropped out - easier to crop in these 4 secs. Choose between this and prev vid.,cropped out logo,,X,
Exercising,Yes,https://www.youtube.com/watch?v=zZxesAnica8,40-minute Metabolism boosting workout,720p (HD),8:13,8:17,3,y,,"One woman is the same as in prev vid. This is 40 min long - if this clip isn't good, keep watching!",cropped out logo,,X,
Exercising,Yes,https://www.youtube.com/watch?v=wLC7a1XuPxU,Namaste away your heartbreak with this yoga flow ,720p (HD),0:34,0:38,3,y,,,cropped out logo,,,
Exercising,No,https://www.youtube.com/watch?v=77VuIh_tFr0,Women's Leg Workout Routine,720p (HD),0:33,0:37,1,y,,Part of head is not visible in shot,cut a few seconds in the beginning,,,
Exercising,No,https://www.youtube.com/watch?v=77VuIh_tFr0,Women's Leg Workout Routine,720p (HD),2:46,2:50,1,y,,Same woman as in prev &next vid: choose 1,n,,X,
Exercising,No,https://www.youtube.com/watch?v=77VuIh_tFr0,Women's Leg Workout Routine,720p (HD),3:58,4:02,1,y,,Same woman as in prev 2 vids: choose 1,cut a few seconds in the beginning,,,
Exercising,No,https://www.youtube.com/watch?v=iZUioIpaGag,Metamorphosis Ep. 17 POV Shots At LA Fitness Andre Caoili Powerbuilding,720p (HD),3:50,3:54,2,y,,Other people in background,n,,X,
Exercising,No,https://www.youtube.com/watch?v=bUGAVjwQHgw,Love What You Hate [Mindset] 2016 Motivation,720p (HD),3:41,3:45,1,y,,,n,,,
Exercising,No,https://www.youtube.com/watch?v=bUGAVjwQHgw,Love What You Hate [Mindset] 2016 Motivation,720p (HD),6:26,6:30,1,y,,Different person than in prev clip,n,,X,
Exercising,No,https://www.youtube.com/watch?v=Tzmq5saQ9OE,City Art Gym Film2,720p (HD),0:58,1:02,1,y,,,n,,,
Exercising,No,https://www.youtube.com/watch?v=Tzmq5saQ9OE,City Art Gym Film2,720p (HD),1:06,1:10,1,y,,Face is visible from side. Different person than in last clip. ,n,,X,
Exercising,No,https://www.youtube.com/watch?v=GFfkaxK1dy0,How to Powerclean for CrossFit,720p (HD),1:54,1:58,1,y,,,cut a few seconds in the beginning,,,
Exercising,No,https://www.youtube.com/watch?v=uhSdVJKCGJQ,Racnea Viorel - Motivational Video,720p (HD),1:27,1:31,1,y,,Choose between these 3 clips,cut a few seconds in the beginning,,,
Exercising,No,https://www.youtube.com/watch?v=uhSdVJKCGJQ,Racnea Viorel - Motivational Video,720p (HD),2:31,2:35,1,y,,Choose between these 3 clips,n,,X,
Exercising,No,https://www.youtube.com/watch?v=uhSdVJKCGJQ,Racnea Viorel - Motivational Video,720p (HD),3:03,3:07,1,y,,Choose between these 3 clips,cropped so face is more visible,,,
Exercising,No,https://www.youtube.com/watch?v=qiGpZvNaZ3Y,Prince George Senior's Community Park,720p (HD),1:48,1:52,1,y,,,cut a few seconds in the beginning,,,
Exercising,No,https://www.youtube.com/watch?v=qiGpZvNaZ3Y,Prince George Senior's Community Park,720p (HD),1:56,2:00,1,y,,Different person than in prev clip,n,,,
Gardening,No,https://www.youtube.com/watch?v=pZWRfLGqH1M,Pruning and Staking Tomatoes - Perfect Techniques,720p (HD),5:55,5:59,1,y,,,n,,X,
Gardening,No,https://www.youtube.com/watch?v=pZWRfLGqH1M,Pruning and Staking Tomatoes - Perfect Techniques,720p (HD),8:57,9:01,1,y,,face is more visible in this clip,cut a few seconds in the beginning,,,
Gardening,No,https://www.youtube.com/watch?v=eHpyp_ZYHDE,How to cut Tomato Leaves to Produce More Fruit,720p (HD),0:16,0:20,1,y,,,n,,X,
Gardening,No,https://www.youtube.com/watch?v=A80eMz7rJUM,How to Prune Tomato Plants?,720p (HD),0:18,0:22,1,y,,"quality. 1:00-1:04,",n,,X,
Gardening,No,https://www.youtube.com/watch?v=Ybzdyu7HFX8,How to Plant Wildflower Seed for Early Spring Flowers,720p (HD),0:47,0:51,1,y,,,n,,,
Gardening,No,https://www.youtube.com/watch?v=9W11fWbsShM,Bell Peppers - Two Years of Production,720p (HD),0:49,0:53,1,y,,,cropped so face is more visible,,X,
Gardening,No,https://www.youtube.com/watch?v=CtyLP5e4Hcw,How to grow hot peppers. Tips on growing hot peppers. Growing chiles 101 for newer gardeners,720p (HD),9:39,9:43,1,y,,quality,cut a few seconds in the beginning,,,
Gardening,No,https://www.youtube.com/watch?v=2637Ga0YUgM,How to grow potatoes in a container,720p (HD),1:20,1:24,1,y,,woman is pouring soil from one container to another. 2:36-2:40,cut a few seconds at the end,,,
Gardening,No,https://www.youtube.com/watch?v=MqNw9fFwvq0,9.4 Planting Potatoes,720p (HD),0:58,1:02,1,y,,,cropped so face is more visible,,X,
Hugging/Kissing,Yes ,https://www.youtube.com/watch?v=42cWfP-eBc8,FRAmoments - goodbye,720p (HD),0:08,0:12,2,y,,Hugging,cut a few seconds in the beginning,,X,
Hugging/Kissing,Yes ,https://www.youtube.com/watch?v=42cWfP-eBc8,FRAmoments - goodbye,720p (HD),0:13,0:17,2,y,,people are walking around in the background. Different people than in prev clip.,cropped so faces are more visible,,X,
Hugging/Kissing,Yes ,https://www.youtube.com/watch?v=np03NOIgs94,Dropping Ashly Off at the Airport,720p (HD),2:54,2:58,2,y,,Kissing,n,,X,
Hugging/Kissing,Yes ,https://www.youtube.com/watch?v=RIuJglal9cQ,Hugs at the airport - Happy and Sad Moments,720p (HD),0:32,0:36,2,y,,one person's face is not visible,"cut a few seconds in the beginning, cropped out logo",,X,
Hugging/Kissing,Yes ,https://www.youtube.com/watch?v=RIuJglal9cQ,Hugs at the airport - Happy and Sad Moments,720p (HD),1:09,1:13,2,y,,,"cut a few seconds in the beginning, cropped out logo",,,
Hugging/Kissing,Yes ,https://www.youtube.com/watch?v=RIuJglal9cQ,Hugs at the airport - Happy and Sad Moments,720p (HD),1:45,1:49,2,y,,one person's back is to the camera,"cut a few seconds in the beginning, cropped out logo",,,
Hugging/Kissing,Yes ,https://www.youtube.com/watch?v=RIuJglal9cQ,Hugs at the airport - Happy and Sad Moments,720p (HD),1:59,2:03,2,y,,,cropped out logo,,X,
Hugging/Kissing,Yes ,https://www.youtube.com/watch?v=mQUz9F8SkA8,Lina and Jon's First Hug,720p (HD),3:34,3:38,2,y,,Camera is moving around,cut a few seconds at the end,,,
Phone/Laptop,No,https://www.youtube.com/watch?v=PkzRSOnfpvo,90s Arts and Crafts,720p (HD),4:27,4:31,1,y,,,cut a few seconds in the beginning,,,
Phone/Laptop,No,https://www.youtube.com/watch?v=PkzRSOnfpvo,90s Arts and Crafts,720p (HD),4:32,4:36,1,y,,Different person than in previous clip,cut a few seconds in the beginning,,X,
Phone/Laptop,No,https://www.youtube.com/watch?v=ShifUzTe31s,Babysitting Nightmare,720p (HD),0:24,0:28,1,y,,girl becomes clearly annoyed at the end of the clip,cut a few seconds in the beginning,,X,
Phone/Laptop,No,https://www.youtube.com/watch?v=lCBF659RMtg,Speaking English - How to answer the phone,720p (HD),1:51,1:55,1,y,,"In background on a white board: ""Phone Expressions"" along with list of phrases",cut so face is more visible,,X,
Phone/Laptop,No,https://www.youtube.com/watch?v=VfglZjilzVo,Talking on the phone at home,720p (HD),1:03,1:07,1,y,,,cropped so face is more visible,,,
Phone/Laptop,No,https://www.youtube.com/watch?v=VfglZjilzVo,Talking on the phone at home,720p (HD),1:12,1:16,1,y,,Same person as in prev clip - choose one,"cut a few seconds in the beginning and at the end, cropped so face is more visible",Too short,,
Phone/Laptop,No,https://www.youtube.com/watch?v=9QAFVspTpOU,Why I hate talking on the phone,720p (HD),3:27,3:31,1,y,,,n,,,
Phone/Laptop,No,https://www.youtube.com/watch?v=9QAFVspTpOU,Why I hate talking on the phone,720p (HD),4:32,4:36,1,y,,Same person as in prev clip - choose one,cut a few seconds in the beginning,,,
Phone/Laptop,No,https://www.youtube.com/watch?v=9QAFVspTpOU,Why I hate talking on the phone,720p (HD),4:39,4:43,1,y,,Same person as prev but with diff hair,cut a few seconds in the beginning,,X,
Playing instrument,No,https://www.youtube.com/watch?v=olxLgSiz5Fg,Freestyle - Strat69,720p (HD),1:14,1:19,1,y,,,n,,X,
Playing instrument,No,https://www.youtube.com/watch?v=X1M5QDtk93U,Wayne Davis and his Peavey T60,480p,0:40,0:44,1,y,,Quality,n,,,
Playing instrument,No,https://www.youtube.com/watch?v=zEzJwuzKvAs,peavey T60 what to look for in an electric guitar,720p (HD),3:02,3:06,1,y,,,n,,X,
Playing instrument,No,https://www.youtube.com/watch?v=g2M7Frp85Ck,Black kid playing heavy metal on guitar in New York,720p (HD),2:40,2:44,2,y,,Drummer in background is not very visible,cropped so faces are more visible,,,
Playing instrument,No,https://www.youtube.com/watch?v=iBqfoQ6eSf4,"How to play ""Zombie"" by The Cranberries on Guitar",720p (HD),0:12,0:16,1,y,,,cropped out logo,,,
Playing instrument,No,https://www.youtube.com/watch?v=Vnr173gtRe4,Kamil Skicki - Another Extreme Solo,720p (HD),0:05,0:09,1,y,,,n,,X,
Playing instrument,No,https://www.youtube.com/watch?v=MUEJMp6pbiA,Electric violin/Acoustic violin Differences and Review,720p (HD),6:54,6:58,1,y,,,n,,,
Playing instrument,No,https://www.youtube.com/watch?v=B2HIj_QWaG0,Amazing Russian Street Performer plays beautiful violin music,720p (HD),0:04,0:08,1,y,,,n,,,
Playing instrument,No,https://www.youtube.com/watch?v=y_cxqXWEYNg,Violin Player on Michigan Avenue in Chicago,720p (HD),0:12,0:16,1,y,,,n,,X,
Playing instrument,No,https://www.youtube.com/watch?v=ESwPHXkyL9M,Hip Hop Medley performed by Josh Vietti,720p (HD),0:06,0:10,1,y,,,"cut a few seconds at the end, cropped so face is more visible",,,
Playing instrument,No*,https://www.youtube.com/watch?v=YOZFOAJ13eI,Crazy Good Street Performer - Amazing Piano Busker,720p (HD),0:02,0:06,1,y,,There is an audience around the piano,cropped out sign,,X,
Teaching,Yes,https://www.youtube.com/watch?v=RtoiCaOW5ho,How to teach in an active learning classroom,720p (HD),0:25,0:29,~10,y,,camera is focused on 2 people,cropped so faces are more visible,,X,
Teaching,Yes,https://www.youtube.com/watch?v=RtoiCaOW5ho,How to teach in an active learning classroom,720p (HD),6:22,6:26,~10,y,,Teacher's back is to the camera,cut a few seconds in the beginning,,,
Teaching,Yes,https://www.youtube.com/watch?v=5zhFl5PFyhw,"CATS College Cambridge, Private School for International Students - Case Study",720p (HD),0:31,0:35,~10,y,,,cut a few seconds in the beginning,,X,
Teaching,Yes,https://www.youtube.com/watch?v=aaweXw03kQI,Whole Brain Teaching - Grade 1 Classroom,720p (HD),0:49,0:53,~10,y,,,cut a few seconds at the end ,,X,
Teaching,Yes,https://www.youtube.com/watch?v=aaweXw03kQI,Whole Brain Teaching - Grade 1 Classroom,720p (HD),2:04,2:08,~10,y,,Same people as in prev clip - choose one,cropped so faces are more visible,,,
Teaching,Yes,https://www.youtube.com/watch?v=aaweXw03kQI,Whole Brain Teaching - Grade 1 Classroom,720p (HD),2:10,2:14,~10,y,,Same people as in prev clip - choose one,cropped so faces are more visible,,,
Teaching,Yes,https://www.youtube.com/watch?v=-YvIR7M34nk,Inquiry into Teaching and Learning: Classroom Observation,720p (HD),8:18,8:22,~10,y,,,n,,X,
Teaching,Yes,https://www.youtube.com/watch?v=pgk-719mTxM,"Classroom Management - Week 1, Day 1",720p (HD),18:19,18:23,4,y,,"Teacher's face is visible, the backs of students' heads are visible",n,,X,
Teaching,Yes,https://www.youtube.com/watch?v=pgk-719mTxM,"Classroom Management - Week 1, Day 1",720p (HD),28:24,28:28,6,y,,Same people as in prev vid - choose one,n,,,
Teaching,Yes,https://www.youtube.com/watch?v=pgk-719mTxM,"Classroom Management - Week 1, Day 1",720p (HD),33:06,33:10,,y,,Same people as in prev vid - choose one,"cut a few seconds in the beginning, cropped so faces are more visible",,,
Using Tools,Yes,https://www.youtube.com/watch?v=FGYjx7dZwEs,Using a two-man auger,720p (HD),0:15,0:19,2,y,,,cropped so faces are more visible,,X,
Using Tools,Yes,https://www.youtube.com/watch?v=Ht1zXdFPNi0,How to use an Auger,720p (HD),1:55,1:59,2,y,,faces visible from the side,cut a few seconds in the beginning and at the end,,,
Using Tools,Yes,https://www.youtube.com/watch?v=KHeknr5-aGI,Danny's Deck Day 2,480p,0:44,0:48,2,y,,quality could be better,cropped so faces are more visible,,X,
Using Tools,Yes,https://www.youtube.com/watch?v=I7IFFbP4NkU,Learning to use a two-person crosscut saw,720p (HD),0:16,0:20,2,y,,"one person's back is to the camera. There are many people watching who are facing the camera. face is visible from side. 1:26-1:30, 1:56-2:00, 3:06-3:10, ",cropped so faces are more visible,,,
Using Tools,Yes,https://www.youtube.com/watch?v=0xd-Q9KAmcU,Crosscut saw felling timber,720p (HD),1:27,1:31,2,y,,,cropped out logo,,X,
Using Tools,No,https://www.youtube.com/watch?v=0xd-Q9KAmcU,Crosscut saw felling timber,720p (HD),1:50,1:54,1,y,,Same person as in last clip: Choose one clip,"cropped out logo, cut a few seconds at the end",,,
Using Tools,Yes,https://www.youtube.com/watch?v=aTrxkPaTW8M,Two man buck saw demonstration,720p (HD),0:14,0:18,2,y,,,n,,X,
Using Tools,Yes,https://www.youtube.com/watch?v=ROeXFW3kePQ,Two-man saw,720p (HD),0:01,0:05,2,y,,One person's face is not visible,n,,X,
Using Tools,No,https://www.youtube.com/watch?v=cq48ZA-cWc4,"What's the difference between a drill, impact driver, and a power screwdriver",720p (HD),0:50,0:54,1,y,,,n,,X,
Using Tools,No,https://www.youtube.com/watch?v=r7yLMN-nMu0,DIY Hacks - 8 money saving handyman and woodworking hacks,720p (HD),0:29,0:33,1,y,,Clip shows man screwing in the drill bit,n,,,
Using Tools,No,https://www.youtube.com/watch?v=r7yLMN-nMu0,DIY Hacks - 8 money saving handyman and woodworking hacks,720p (HD),0:38,0:42,1,y,,Same person as in prev clip - choose one. This clip shows him actually using the screwdriver.,n,,X,
Using Tools,No,https://www.youtube.com/watch?v=UTX3o6qK7u8,Splined/Keyed Mitre Sledge Box - Building and using on a table saw,720p (HD),8:26,8:30,1,y,,,n,,X,
Using Tools,No,https://www.youtube.com/watch?v=-rgxwSLXT7k,2/40 Welding tools - Welding for Woodworkers,720p (HD),2:19,2:23,1,y,,,cropped out logo,,,
Using Tools,No,https://www.youtube.com/watch?v=-rgxwSLXT7k,2/40 Welding tools - Welding for Woodworkers,720p (HD),2:26,2:30,1,y,,Same person as in prev clip - choose one,cropped out logo,,,
Using Tools,No,https://www.youtube.com/watch?v=TU3V3MdkaJg,Woodworking: Power tools: Why you need a scroll saw,720p (HD),3:24,3:28,1,y,,Logo in bottom left corner,cropped out logo,,,
Using Tools,No,https://www.youtube.com/watch?v=TU3V3MdkaJg,Woodworking: Power tools: Why you need a scroll saw,720p (HD),3:33,3:37,1,y,,Same person as in prev clip - choose one,cropped out logo,,,
Using Tools,No,https://www.youtube.com/watch?v=yQSeNzaa96c,Miter Saw Basics,720p (HD),2:16,2:20,1,y,,Choose between these 3 clips,cut a few seconds in the beginning,,,
Using Tools,No,https://www.youtube.com/watch?v=yQSeNzaa96c,Miter Saw Basics,720p (HD),3:06,3:10,1,y,,Choose between these 3 clips,n,,,
Using Tools,No,https://www.youtube.com/watch?v=yQSeNzaa96c,Miter Saw Basics,720p (HD),3:11,3:15,1,y,,Choose between these 3 clips,n,,X,
Using Tools,No,https://www.youtube.com/watch?v=yvYjTEpw1BY,Circular Saw - A must have tool,720p (HD),2:30,2:34,1,y,,,n,,X,
Eating,Yes,https://www.youtube.com/watch?v=HXeoocekTro,VLOG: My little Raw Vegan Thanksgiving just fun with family,720p (HD),2:18,2:24,2,y,,,,,X,
Eating,Yes,https://www.youtube.com/watch?v=Z46q35tDf4o,Comfort 101: The Art of the Dinner Party,720p (HD),2:59,3:05,4,y,,,,,,
Phone/Laptop,No,https://www.youtube.com/watch?v=mja0wigW3ao,Best Laptop for College Students in 2016? 11 Greatest Models,720p (HD),11:58,12:05,1,y,,,,,,
Dancing,No,https://www.youtube.com/watch?v=eN6JjTSGl-I,Cuban Contemporary Dance Technique,720p (HD),12:02,12:09,1,,,,,,,